N,P,K,temperature,humidity,ph,rainfall,label,Region,Soil_Type,Growing_Season,Yield_kg_per_hectare,Growth_Days,Irrigation_Method,Pest_Incidents,Fertilizer_Application,Fertilizer_kg_ha,Organic_Matter_Percentage,Crop_Rotation,Seed_Rate_kg_ha,Market_Price_USD_per_kg,Water_Source
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,Southern,Alluvial,Monsoon,5017,133,Flood,Low,Medium,117,2.6,Vegetables,48,0.42,Canal
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,Eastern,Alluvial,Kharif,3915,127,Flood,High,Medium,157,1.3,Fallow,56,0.23,Reservoir
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,Eastern,Clay,Monsoon,3556,115,Flood,Low,Medium,105,2.3,Fallow,48,0.27,Reservoir
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,Eastern,Clay,Monsoon,5323,138,Flood,High,Medium,123,1.1,Fallow,60,0.39,Reservoir
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,Southern,Alluvial,Monsoon,3055,142,Flood,Low,High,145,1.6,Fallow,50,0.48,Reservoir
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,Southern,Alluvial,Kharif,5546,121,Flood,Medium,Medium,125,1.1,Vegetables,49,0.49,Reservoir
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,Southern,Alluvial,Kharif,3312,144,Flood,Low,High,158,1.8,Vegetables,44,0.3,Reservoir
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,Eastern,Alluvial,Kharif,2319,112,Flood,High,High,102,1.2,Pulses,54,0.31,River
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,Eastern,Clay,Kharif,2441,129,Flood,Medium,Medium,101,1.5,Vegetables,44,0.31,Canal
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,Eastern,Alluvial,Monsoon,4818,122,Flood,Medium,Medium,169,1.8,Fallow,50,0.25,River
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,Southern,Clay,Monsoon,2894,131,Flood,Medium,Medium,103,2.6,Fallow,44,0.46,Canal
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,Eastern,Clay,Kharif,4949,145,Flood,Medium,High,161,1.2,Vegetables,59,0.35,Reservoir
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,Eastern,Alluvial,Kharif,5937,131,Flood,Medium,High,106,2.1,Fallow,45,0.47,Canal
