N,P,K,temperature,humidity,ph,rainfall,label
0,122,200,21.63301338,92.5511393,5.43443459,99.77910551,apple
0,123,200,22.08293261,95.54410082,5.60256098,72.99106064,apple
0,123,205,22.02775403,92.96129462,5.79099305,121.1349176,apple
0,124,199,23.34550914,99.15043906,5.43731289,128.15742703,apple
0,124,200,21.27150344,91.51396485,5.34572886,149.63155819,apple
0,125,200,22.94265888,95.57020699,5.30427869,170.43684461,apple
0,126,195,22.50256446,88.78139976,5.84533269,114.08297465,apple
0,127,198,25.39365805,92.53030145,5.55122194,69.29794587,apple
0,127,200,20.63518732,89.557469,6.09334778,76.01767417,apple
0,130,196,23.71775894,93.61752496,5.92428667,119.23342153,apple
0,131,195,23.29891551,90.01531543,6.44050426,158.01652142,apple
0,133,200,23.67287749,90.4935574,5.70841872,104.2298028,apple
0,134,200,21.35871082,90.74403667,5.84238301,123.74563691,apple
0,135,200,22.84653258,89.9373921,6.46672953,78.68673624,apple
0,138,196,22.22547505,94.1061978,5.7933174,112.56775767,apple
0,138,197,21.46580906,91.33564927,6.02432215,109.47209906,apple
0,140,200,20.99441405,94.62876808,5.77088969,67.25511105,apple
0,141,195,23.12397972,96.30588396,5.90620867,63.22829423,apple
0,142,192,24.52145817,89.28264554,5.49696754,125.3520569,apple
0,145,199,24.60180503,94.76933697,5.30729535,78.27463546,apple
0,145,200,20.8474878,90.84058247,5.67058048,87.70173991,apple
0,145,205,21.22503442,90.09877774,5.52078314,113.9760462,apple
0,149,200,20.74336736,90.52848898,5.25281048,90.10980349,apple
1,118,200,23.09934707,86.96471138,5.76212896,96.9282604,apple
1,120,200,22.63880752,94.36740453,6.18748832,124.97710856,apple
1,122,200,21.61325605,95.21463982,6.00218512,125.00711357,apple
1,124,199,23.71059131,93.27392415,5.65847382,112.6676589,apple
1,125,200,20.40263813,89.09594343,6.06056755,149.43238807,apple
1,126,200,22.39277622,98.45416378,5.9182572,158.86971623,apple
1,127,200,21.61730169,88.29576998,6.18426428,118.91899522,apple
1,132,197,22.47645971,90.76861491,5.96615294,155.67303192,apple
1,135,203,22.77856513,92.70124029,5.62420328,113.7759219,apple
1,137,200,21.34744463,94.24487105,5.55942541,107.72868465,apple
1,140,200,22.27804093,90.89405014,5.59619955,133.98203872,apple
2,120,203,23.12652652,94.71203306,5.893493,108.6211833,apple
2,122,200,23.09806694,90.00602546,5.9396503,112.6423529,apple
2,123,200,23.61241437,97.78334877,5.7003482,97.49809607,apple
2,123,205,22.36629253,90.78572467,5.73965218,124.9831618,apple
2,126,200,24.97968819,89.50414227,6.13540172,120.62095792,apple
2,129,201,22.78234161,94.36803516,5.68234374,122.1449949,apple
2,131,199,22.47420512,91.22759742,6.01737013,124.2179699,apple
2,134,196,23.01209414,94.15592928,5.48079529,88.77242122,apple
2,136,195,25.15823017,93.85380826,6.14730169,145.47474583,apple
2,139,200,21.03012758,97.62832701,5.75000791,130.79404632,apple
2,139,200,19.91367705,91.66272844,6.29950626,114.28978983,apple
2,140,197,22.69780133,92.82223419,5.53456749,105.0508234,apple
2,140,200,21.00299966,94.86723995,6.4763788,75.12692934,apple
2,142,196,23.18942965,89.94809904,5.51353671,110.869453,apple
2,142,200,21.46580865,91.47397056,5.56081035,139.19512786,apple
2,143,196,22.71271308,90.45261746,5.66948906,109.8852597,apple
2,144,200,21.7723235,90.06683638,5.12771117,122.3470438,apple
3,124,200,21.03344204,90.56102698,6.39542418,107.55722577,apple
3,126,200,22.13460785,90.76806036,5.68179672,75.99610866,apple
3,127,200,22.62186031,98.64724578,5.78087435,82.80519803,apple
3,128,200,25.46834139,94.68466753,5.57610154,141.14416781,apple
